Cidade;Koppen;Tmed;PPT;ETP;DEF
Bom Despacho;Cwa;22,64;801,8;1112,1;238,4
Niquelandia;Aw;24,63;562,2;1372,5;655,7
Arapoti;Cfb;18,48;1367;669,7;25,4
Rio Verde;Aw;23,34;1244,8;1196,2;425,4
Belo Oriente;Aw;22,56;1053,5;1104,8;125,4
Guanhaes;Cwa;20,62;817,6;866;187,9
Eldorado do Sul;Cfa;20,58;1787,4;858,7;10,7
Sao Gabriel;Cfa;20,23;1782,6;927,4;2,8
Inhambupe;As;24,23;715,2;1318,4;607,4
Botucatu;Cfb;21,94;1012,8;1030;184,1
Estrela do Sul;Cwa;23,41;1133,6;1208,4;206,2
Buri;Cfa;19,98;1404,4;805;3,6
Inocencia;Am;24,48;1019,6;1374,8;389,2
Chapadao do Sul;Am;22,62;1026,6;1097,7;325,8
Aracruz;Aw;23,89;849,4;1276,9;335,5
Tres Lagoas;Aw;25,23;943,8;1501,6;538,4
Tres Marias;Aw;22,25;811,4;1052,1;404,8
Peixe;Aw;26,29;1207,6;1630,3;674,5
Mogi Guacu;Cwa;22,4;923,6;1100,4;209,9
Brejinho de Nazare;Aw;25,88;1507,2;1563,4;495,7
Monte Dourado;Am;27,38;2528,7;1820,6;529,7
Otacilio Costa;Cfb;16,91;2092,2;547,8;0
Telemaco Borba;Cfa;18,48;1367;669,7;28
Borebi;Cfa;22,12;947,6;1057,8;200,9
Coracao de Jesus;As;23,91;413,4;1275,1;743,7
Antonio Olinto;Cfb;17,67;1740,2;615,8;0
Tres Barras;Cfb;17,3;1122,8;581;16,5
Urbano Santos;Aw;27,05;1437,8;1750,3;935
Eunapolis;Am;22,88;1419,2;1127,6;31,2
Itagimirim;Aw;25,18;490,6;1460,3;869,5
Bocaiuva;Aw;23,91;413,4;1275,5;641,8
