estado;cultura;area
Rondônia;Eucalipto;18
Acre;Eucalipto;
Amazonas;Eucalipto;
Roraima;Eucalipto;
Pará;Eucalipto;155065
Amapá;Eucalipto;217545
Tocantins;Eucalipto;130834
Maranhão;Eucalipto;214094
Piauí;Eucalipto;37176
Ceará;Eucalipto;26
Rio Grande do Norte;Eucalipto;
Paraíba;Eucalipto;1145
Pernambuco;Eucalipto;
Alagoas;Eucalipto;7106
Sergipe;Eucalipto;3365
Bahia;Eucalipto;603989
Minas Gerais;Eucalipto;1841943
Espírito Santo;Eucalipto;278444
Rio de Janeiro;Eucalipto;37349
São Paulo;Eucalipto;952884
Paraná;Eucalipto;681799
Santa Catarina;Eucalipto;307849
Rio Grande do Sul;Eucalipto;702252
Mato Grosso do Sul;Eucalipto;921404
Mato Grosso;Eucalipto;213838
Goiás;Eucalipto;133797
Distrito Federal;Eucalipto;2809
Rondônia;Pinus;
Acre;Pinus;
Amazonas;Pinus;
Roraima;Pinus;
Pará;Pinus;
Amapá;Pinus;48
Tocantins;Pinus;860
Maranhão;Pinus;
Piauí;Pinus;
Ceará;Pinus;
Rio Grande do Norte;Pinus;
Paraíba;Pinus;
Pernambuco;Pinus;
Alagoas;Pinus;3
Sergipe;Pinus;
Bahia;Pinus;675
Minas Gerais;Pinus;37368
Espírito Santo;Pinus;1592
Rio de Janeiro;Pinus;18
São Paulo;Pinus;146712
Paraná;Pinus;919664
Santa Catarina;Pinus;668550
Rio Grande do Sul;Pinus;273200
Mato Grosso do Sul;Pinus;5300
Mato Grosso;Pinus;
Goiás;Pinus;7870
Distrito Federal;Pinus;1000
Rondônia;Outras;15063
Acre;Outras;
Amazonas;Outras;
Roraima;Outras;46465
Pará;Outras;44197
Amapá;Outras;2559
Tocantins;Outras;6231
Maranhão;Outras;11
Piauí;Outras;
Ceará;Outras;211
Rio Grande do Norte;Outras;465
Paraíba;Outras;5048
Pernambuco;Outras;1063
Alagoas;Outras;434
Sergipe;Outras;28
Bahia;Outras;
Minas Gerais;Outras;2070
Espírito Santo;Outras;70
Rio de Janeiro;Outras;848
São Paulo;Outras;2012
Paraná;Outras;25481
Santa Catarina;Outras;15010
Rio Grande do Sul;Outras;186205
Mato Grosso do Sul;Outras;
Mato Grosso;Outras;72998
Goiás;Outras;1293
Distrito Federal;Outras;
